track_id,track_name,artist,album,minutes_played,ts,date,hour,minute,second
7ln7o4q6y9h8qEc6hGrtr1,Tears Don't Fall,Bullet For My Valentine,The Poison,0.04053333333333333,2024-12-05 11:05:08+00:00,2024-12-05,11,5,8
78XFPcFYN8YFOHjtVwnPsl,Unholy Confessions,Avenged Sevenfold,Waking The Fallen,0.030566666666666666,2024-12-05 11:05:10+00:00,2024-12-05,11,5,10
7ln7o4q6y9h8qEc6hGrtr1,Tears Don't Fall,Bullet For My Valentine,The Poison,0.11448333333333334,2024-12-05 11:05:17+00:00,2024-12-05,11,5,17
68osIGtVjM7QWVe6pazLHj,Shadow Moses,Bring Me The Horizon,Sempiternal,0.01315,2024-12-05 11:05:18+00:00,2024-12-05,11,5,18
68osIGtVjM7QWVe6pazLHj,Shadow Moses,Bring Me The Horizon,Sempiternal,1.16905,2024-12-05 11:06:33+00:00,2024-12-05,11,6,33
1KHKeIouP04dDtl0EetgED,The Downfall Of Us All,A Day To Remember,Homesick,0.8408833333333333,2024-12-05 11:08:23+00:00,2024-12-05,11,8,23
6KfoDhO4XUWSbnyKjNp9c4,Maniac,Conan Gray,Kid Krow,0.06328333333333333,2024-12-05 11:08:57+00:00,2024-12-05,11,8,57
2nLtzopw4rPReszdYBJU6h,Numb,Linkin Park,Meteora,0.13866666666666666,2024-12-05 11:09:24+00:00,2024-12-05,11,9,24
1vcxF91pWs9uNwDROuiCPB,Savior,Rise Against,Appeal To Reason,0.11235,2024-12-05 11:46:08+00:00,2024-12-05,11,46,8
4BVbvco65MZqCwCAaQlY0z,Wires,Athlete,Tourist,0.4472833333333333,2024-12-05 11:46:35+00:00,2024-12-05,11,46,35
5Vd7KrcmbEYs6ohyPeTVYp,Chances,Athlete,Tourist,0.19625,2024-12-05 11:46:47+00:00,2024-12-05,11,46,47
3p2BYWAv40XI6XQReAsnbx,Half Light,Athlete,Tourist,1.0567166666666667,2024-12-05 11:49:37+00:00,2024-12-05,11,49,37
2eBdMrG6jgYNa1u2j6Bkf3,Tourist,Athlete,Tourist,0.75875,2024-12-05 11:50:22+00:00,2024-12-05,11,50,22
4BVbvco65MZqCwCAaQlY0z,Wires,Athlete,Tourist,0.02595,2024-12-05 12:07:23+00:00,2024-12-05,12,7,23
3p2BYWAv40XI6XQReAsnbx,Half Light,Athlete,Tourist,0.018833333333333334,2024-12-05 12:07:24+00:00,2024-12-05,12,7,24
2eBdMrG6jgYNa1u2j6Bkf3,Tourist,Athlete,Tourist,0.017766666666666667,2024-12-05 12:07:25+00:00,2024-12-05,12,7,25
6RcsAN8XF5KX6mMh6dum8e,Pittsburgh (No Intro),The Amity Affliction,Let the Ocean Take Me,0.07573333333333333,2024-12-05 12:07:30+00:00,2024-12-05,12,7,30
3HyDpKAuR3e4l6QB7hSB2l,The Light Behind Your Eyes,My Chemical Romance,Number Three,0.07075,2024-12-05 12:07:34+00:00,2024-12-05,12,7,34
5IgjP7X4th6nMNDh4akUHb,Under The Influence,Chris Brown,Indigo (Extended),3.0768833333333334,2024-12-05 12:10:38+00:00,2024-12-05,12,10,38
